factor,IC_mean,IC_std,ICIR,absICIR,coverage
turnover_used_5d_mean_csz,-0.040615720266909114,0.31415806636805876,-0.12928434636889086,0.12928434636889086,0.8815331010452961
turnover_used_5d_std_csz,-0.026146594868662262,0.2878187892478465,-0.09084394711335857,0.09084394711335857,0.8815331010452961
turnover_used_5d_range_csz,-0.022841814404652782,0.28547388045912087,-0.08001367539445932,0.08001367539445932,0.8815331010452961
turnover_used_10d_mean_csz,-0.030484576537782398,0.31398431653354675,-0.09708948801754995,0.09708948801754995,0.8641114982578397
turnover_used_10d_std_csz,-0.01813630545693526,0.2996204681932547,-0.060530929566658884,0.060530929566658884,0.8641114982578397
turnover_used_10d_range_csz,-0.014828952466061453,0.2980964164972488,-0.04974549053728163,0.04974549053728163,0.8641114982578397
turnover_used_20d_mean_csz,-0.02980049685950972,0.31089809447682054,-0.09585294149087022,0.09585294149087022,0.8292682926829268
turnover_used_20d_std_csz,-0.02087262253129105,0.30356838277725295,-0.06875756407941401,0.06875756407941401,0.8292682926829268
turnover_used_20d_range_csz,-0.019299397297700856,0.29400566328731914,-0.0656429440232938,0.0656429440232938,0.8292682926829268
ret_1d_adj_5d_mean_csz,0.008505640137527583,0.3118315193359971,0.02727639641957679,0.02727639641957679,0.9477351916376306
ret_1d_adj_5d_std_csz,-0.04278489352244513,0.3020710811985295,-0.14163849565700637,0.14163849565700637,0.9477351916376306
ret_1d_adj_5d_range_csz,-0.04091077479068634,0.2990605670957623,-0.13679762326400688,0.13679762326400688,0.9477351916376306
ret_1d_adj_10d_mean_csz,0.01278737827169101,0.31491794954390817,0.040605428462273475,0.040605428462273475,0.9303135888501742
ret_1d_adj_10d_std_csz,-0.0065553867615291105,0.3122810597784344,-0.02099194477622243,0.02099194477622243,0.9303135888501742
ret_1d_adj_10d_range_csz,-0.007267902434596021,0.30810583770772976,-0.02358897997087085,0.02358897997087085,0.9303135888501742
ret_1d_adj_20d_mean_csz,0.03980838501285928,0.3189734261869857,0.12480157199528956,0.12480157199528956,0.8954703832752613
ret_1d_adj_20d_std_csz,-0.004329470495140975,0.3087047890147979,-0.014024630161903449,0.014024630161903449,0.8954703832752613
ret_1d_adj_20d_range_csz,0.0077444215932394095,0.30739362147312416,0.02519382658666037,0.02519382658666037,0.8954703832752613
intraday_ret_5d_mean_csz,-0.008777399769690128,0.30179838494113653,-0.029083653881720052,0.029083653881720052,0.9512195121951219
intraday_ret_5d_std_csz,-0.027926842156695112,0.30263409065209307,-0.09227923429419489,0.09227923429419489,0.9512195121951219
intraday_ret_5d_range_csz,-0.023021775048680332,0.2962732467917318,-0.07770453558658207,0.07770453558658207,0.9512195121951219
intraday_ret_10d_mean_csz,0.0017054150116678868,0.317011825528182,0.005379657395513396,0.005379657395513396,0.9337979094076655
intraday_ret_10d_std_csz,-0.01244788785140904,0.3096613721409435,-0.04019838756557385,0.04019838756557385,0.9337979094076655
intraday_ret_10d_range_csz,-0.0057875508178117895,0.3033232733972871,-0.019080470657559353,0.019080470657559353,0.9337979094076655
intraday_ret_20d_mean_csz,0.036387315897893555,0.33406736428021794,0.10892209113659972,0.10892209113659972,0.8989547038327527
intraday_ret_20d_std_csz,-0.01833612904109101,0.30108354879801996,-0.06090046804048961,0.06090046804048961,0.8989547038327527
intraday_ret_20d_range_csz,-0.005784353746648265,0.29072000135310544,-0.019896648733234733,0.019896648733234733,0.8989547038327527
amount_to_circ_mv_5d_mean_csz,-0.005530643985210959,0.3355554347076226,-0.01648205754745096,0.01648205754745096,0.8815331010452961
amount_to_circ_mv_5d_std_csz,-0.012725708715824617,0.3057719679962559,-0.04161829744962246,0.04161829744962246,0.8815331010452961
amount_to_circ_mv_5d_range_csz,-0.008247128767130308,0.3071722826763374,-0.026848544716582316,0.026848544716582316,0.8815331010452961
amount_to_circ_mv_10d_mean_csz,0.006854766864010854,0.33474484061753446,0.020477587799009055,0.020477587799009055,0.8641114982578397
amount_to_circ_mv_10d_std_csz,0.0071001523082368945,0.31792556802138416,0.022332750248508882,0.022332750248508882,0.8641114982578397
amount_to_circ_mv_10d_range_csz,0.004738488967533403,0.31577765023756044,0.015005776893863844,0.015005776893863844,0.8641114982578397
amount_to_circ_mv_20d_mean_csz,0.014980669717574597,0.34270083027225745,0.04371354952852976,0.04371354952852976,0.8292682926829268
amount_to_circ_mv_20d_std_csz,0.00852955180864078,0.3311934258878737,0.0257539888836093,0.0257539888836093,0.8292682926829268
amount_to_circ_mv_20d_range_csz,0.013881194658351678,0.3284516061286608,0.04226252634890191,0.04226252634890191,0.8292682926829268
volume_ratio_5d_mean_csz,-0.04936154045738216,0.2687234249428327,-0.18368901210559954,0.18368901210559954,0.8815331010452961
volume_ratio_5d_std_csz,-0.040836438044010215,0.254681070753702,-0.16034343629528117,0.16034343629528117,0.8815331010452961
volume_ratio_5d_range_csz,-0.03805289698153492,0.2507848557487585,-0.15173522686576063,0.15173522686576063,0.8815331010452961
volume_ratio_10d_mean_csz,-0.0347011587595841,0.2807687136069388,-0.12359339583741467,0.12359339583741467,0.8641114982578397
volume_ratio_10d_std_csz,-0.000445936343108887,0.25414584444427646,-0.0017546473918705454,0.0017546473918705454,0.8641114982578397
volume_ratio_10d_range_csz,0.0018024858382458193,0.24587100190283884,0.0073310224642030375,0.0073310224642030375,0.8641114982578397
volume_ratio_20d_mean_csz,-0.027483261628427434,0.2514608550128127,-0.1092943934634561,0.1092943934634561,0.8292682926829268
volume_ratio_20d_std_csz,0.0006410132626439148,0.2454942716286174,0.0026111129127022433,0.0026111129127022433,0.8292682926829268
volume_ratio_20d_range_csz,4.133678472663301e-05,0.2525197707452601,0.00016369722103198495,0.00016369722103198495,0.8292682926829268
